idRischio,sesso,etaMin,etaMax,diabete,fumo,pressioneMin,pressioneMax,colesteroloMin,colesteroloMax,percentuale
r400,uomo,50,59,0,0,90,129,291,320,10
r401,uomo,40,49,0,0,170,200,130,173,5
r402,uomo,40,49,0,0,170,200,174,212,5
r403,uomo,40,49,0,0,170,200,213,251,10
r404,uomo,40,49,0,0,170,200,252,290,10
r405,uomo,40,49,0,0,170,200,291,320,10
r406,uomo,40,49,0,0,150,169,130,173,5
r407,uomo,40,49,0,0,150,169,174,212,5
r408,uomo,40,49,0,0,150,169,213,251,5
r409,uomo,40,49,0,0,150,169,252,290,5
r410,uomo,40,49,0,0,150,169,291,320,10
r411,uomo,40,49,0,0,130,149,130,173,5
r412,uomo,40,49,0,0,130,149,174,212,5
r413,uomo,40,49,0,0,130,149,213,251,5
r414,uomo,40,49,0,0,130,149,252,290,5
r415,uomo,40,49,0,0,130,149,291,320,10
r416,uomo,40,49,0,0,90,129,130,173,5
r417,uomo,40,49,0,0,90,129,174,212,5
r418,uomo,40,49,0,0,90,129,213,251,5
r419,uomo,40,49,0,0,90,129,252,290,5
r420,uomo,40,49,0,0,90,129,291,320,5
r421,uomo,60,69,0,1,170,200,130,173,31
r422,uomo,60,69,0,1,170,200,174,212,31
r423,uomo,60,69,0,1,170,200,213,251,31
r424,uomo,60,69,0,1,170,200,252,290,31
r425,uomo,60,69,0,1,170,200,291,320,31
r426,uomo,60,69,0,1,150,169,130,173,30
r427,uomo,60,69,0,1,150,169,174,212,30
r428,uomo,60,69,0,1,150,169,213,251,30
r429,uomo,60,69,0,1,150,169,252,290,31
r430,uomo,60,69,0,1,150,169,291,320,31
r431,uomo,60,69,0,1,130,149,130,173,20
r432,uomo,60,69,0,1,130,149,174,212,20
r433,uomo,60,69,0,1,130,149,213,251,30
r434,uomo,60,69,0,1,130,149,252,290,30
r435,uomo,60,69,0,1,130,149,291,320,31
r436,uomo,60,69,0,1,90,129,130,173,15
r437,uomo,60,69,0,1,90,129,174,212,15
r438,uomo,60,69,0,1,90,129,213,251,20
r439,uomo,60,69,0,1,90,129,252,290,20
r440,uomo,60,69,0,1,90,129,291,320,30
r441,uomo,50,59,0,1,170,200,130,173,15
r442,uomo,50,59,0,1,170,200,174,212,20
r443,uomo,50,50,0,1,170,200,213,251,20
r444,uomo,50,59,0,1,170,200,252,290,30
r445,uomo,50,59,0,1,170,200,291,320,31
r446,uomo,50,59,0,1,150,169,130,173,15
r447,uomo,50,59,0,1,150,169,174,212,15
r448,uomo,50,59,0,1,150,169,213,251,15
r449,uomo,50,59,0,1,150,169,252,290,20
r450,uomo,50,59,0,1,150,169,291,320,30
r451,uomo,50,59,0,1,130,149,130,173,10
r452,uomo,50,59,0,1,130,149,174,212,10
r453,uomo,50,59,0,1,130,149,213,251,10
r454,uomo,50,59,0,1,130,149,252,290,15
r455,uomo,50,59,0,1,130,149,291,320,20
r456,uomo,50,59,0,1,90,129,130,173,10
r457,uomo,50,59,0,1,90,129,174,212,10
r458,uomo,50,59,0,1,90,129,213,251,10
r459,uomo,50,59,0,1,90,129,252,290,10
r460,uomo,50,59,0,1,90,129,291,320,15
r461,uomo,40,49,0,1,170,200,130,173,10
r462,uomo,40,49,0,1,170,200,174,212,10
r463,uomo,40,49,0,1,170,200,213,251,10
r464,uomo,40,49,0,1,170,200,252,290,10
r465,uomo,40,49,0,1,170,200,291,320,20
r466,uomo,40,49,0,1,150,169,130,173,5
r467,uomo,40,49,0,1,150,169,174,212,10
r468,uomo,40,49,0,1,150,169,213,251,10
r469,uomo,40,49,0,1,150,169,252,290,10
r470,uomo,40,49,0,1,150,169,291,320,15
r471,uomo,40,49,0,1,130,149,130,173,5
r472,uomo,40,49,0,1,130,149,174,212,5
r473,uomo,40,49,0,1,130,149,213,251,5
r474,uomo,40,49,0,1,130,149,252,290,10
r475,uomo,40,49,0,1,130,149,291,320,10
r476,uomo,40,49,0,1,90,129,130,173,5
r477,uomo,40,49,0,1,90,129,174,212,5
r478,uomo,40,49,0,1,90,129,213,251,5
r479,uomo,40,49,0,1,90,129,252,290,5
r480,uomo,40,49,0,1,90,129,291,320,10
